id,url,gap_type,missed_year,missed_year_context,missed_mileage,missed_mileage_context,missed_fuel,missed_fuel_context,extracted_year,extracted_mileage,extracted_fuel
141,https://auto.bazos.cz/inzerat/216200405/mazda-3-20-111-kw-high-line-benzin.php,mileage,,,187000,u od: 08.2009Stav tachometru: 187 000 kmPalivo: BenzínObjem motoru: 1 ,,,2009,,benzín
145,https://auto.bazos.cz/inzerat/216200278/mazda-3-16-77-kw-bose-edition-benzin.php,mileage,,,154000,u od: 08.2008Stav tachometru: 154 000 kmPalivo: BenzínObjem motoru: 1 ,,,2008,,benzín
147,https://auto.bazos.cz/inzerat/216200228/mazda-3-16-77-kw-sport-active-benzin.php,mileage,,,171000,u od: 08.2007Stav tachometru: 171 000 kmPalivo: BenzínObjem motoru: 1 ,,,2007,,benzín
151,https://auto.bazos.cz/inzerat/216199602/kupim-mazda-3-2017.php,mileage,,,88000,té auto.🚗 Podmienky:Benzin2.0 88kwManual/automatSport-line - BO,,,2017,,
152,https://auto.bazos.cz/inzerat/216199316/mazda-3-16i-77kw1reg2012klima.php,year,2012,"Mazda 3 1.6i 77kw,1.reg.2012,klima
Prodám Mazda 3 1.6i 77k",,,,,,128068,
153,https://auto.bazos.cz/inzerat/216198486/mazda-cx-7-23-disi-najezd-73tiskm-4x4.php,mileage,,,73000,"Mazda CX-7 2.3 Disi, nájezd 73tis.km, 4x4
prodám Mazdu CX-7 r.v",,,2007,,benzín
154,https://auto.bazos.cz/inzerat/216198000/prodam-mazda-6-20d-103kw-dohoda.php,mileage,,,103000,"Prodám Mazda 6 2.0D 103kW, DOHODA
Prodám Mazda 6, naft",,,,,
155,https://auto.bazos.cz/inzerat/215235636/mazda-cx5-22-diesel.php,mileage,,,129000,"
Prodám Mazda CX5, 2,2 diesel,129kw/175 koní,  4x4, r.v. 2015, č",,,2015,,diesel
156,https://auto.bazos.cz/inzerat/216194383/mazda-cx-5-takumi-20-benzin-awd-automat-122016.php,"year,mileage",2016,", 2.0 benzin AWD, Automat, 12/2016
Predavam nasu Mazdu CX-5, 2.0",116000,"Predavam nasu Mazdu CX-5, 2.0 116kW/160 spolahlivy atmosfericky ",,,,,
159,https://auto.bazos.cz/inzerat/216192260/opel-antara-24-103-kw-4x4-benzin-lpg.php,mileage,,,174000,u od: 05.2009Stav tachometru: 174 000 kmPalivo: Benzín + LPG (plyn)Obj,,,2009,,
