id,url,scraped_title,scraped_description,extracted_year,extracted_mileage,extracted_fuel,extracted_power,current_year,current_mileage,current_fuel,current_power,extraction_improved
39,https://auto.bazos.cz/inzerat/215867674/mazda-cx-5-kf-fl-20-skyactiv-g-121kw-new-ground-zaruka-2029.php,Mazda CX-5 KF FL 2.0 Skyactiv-G 121kw New Ground ZÁRUKA 2029,"Nově v nabídce:MAZDA CX5 KF FL 2.0 Skyactiv-G 121kw (G165) edice New Groundrok 2023 (duben)najeto 81tis.km (Se zárukou!)Barva: jedinečná Zirkon Sand PERLEŤVýbava: 6x airbag, ABS, DSC (stabilizační systém), SCBS (antikolizní systém), GVC (G-Vectoring control), manuální šestistupňová převodovka, MATTRIX LED světla + LED denní svícení, LED zadní světla, automatické přepínání dálkových světel, parkovací senzory vpředu-vzadu + 360° KAMERA, HEAD-UP display (projekční), dvouzónová automatická digitální...",2023,,,121,2023,,,121,NO
40,https://auto.bazos.cz/inzerat/215638009/mazda-5-20-110-kw-benzin139-600-km-tazne-7mist.php,"MAZDA 5 2.0 110 KW benzín,139 600 KM - Tažné, 7míst","Prodám Mazdu 5.Rok výroby: 12/2010Motor: 2.0 benzín 110kwPřevodovka: 6st.manualníNajeto: 139 564km, servisní historie, coc, palubní literatura, doklady tuv.Karoserie: mpvPočet dveří: 5Počet míst k sezení: 7Barva: světle modrá metalízaCelkový počet majitelů: 1Původ vozidla: NěmeckoVýbava: vyhřívané sedačky, tempomat, tažné zařízení, klimatizace, klimatizovaná přihrádka, multifunkční volant, všechna okna v elektrice, elektrická zrcátka, 8x airbag, originální autorádio, dálkové centrální zamykání, ...",,139564,,110,,139564,,110,NO
41,https://auto.bazos.cz/inzerat/215992988/mazda-cx-5-20benzinmanualpouze-115tiskm-zaruka.php,"MAZDA CX-5 2.0 BENZIN,MANUAL,POUZE 115TIS.KM-ZARUKA.","Mazda CX-5 2.0 benzin 121kW+6 rychlosti manual.R/v 2015.1 majitelka.Nehavarovane,garažovano.Pěkny lak bez oděrek šeda metaliza.Pěkny čisty interier nekuřak.Vybava-airbagy,ABS,ASR+ESP,2zonova digitalni klimatizace,velky multifunkčni display s navigaci,parkovaci kamera+senzory,radio,palubni počitač,tempomat,jizdni asistanti,vyhřivane vyškově nastavitelne sedadla,multifunkčni volant,el.okna+zrcatka,LED světla+denni sviceni+mlhovky,bezkličove startovani,TAŽNE zařizeni,letni+zimni kola a dalši.Najeto...",,,benzín,121,,,benzín,121,NO
43,https://auto.bazos.cz/inzerat/216207366/mazda-mx-5-nc-fl-20-prht-118kw.php,Mazda MX-5 NC FL 2.0 PRHT 118kW,"Prodám Mazdu MX-5 NC FL rok výroby 2012 2.0L 118kW 6 kvalt, samosvorný diferenciál, BILSTEIN podvozek, pevná skládací střecha PRHT, najeto 213t km (stále jezdí), motor jede krásně nežere olej, podvozek viz. foto, auto má pár oděrek z provozu ale nic co by nešlo řešit, pěkný interiér a celkově stav auta i přes větší nájezd. Do 160t km jezdilo v Německu do autorizovaného servisu.12.3.2026 Provedena STK bez závadPři 208t km výměna oleje v motoru, převodovce, diferenciálu a nové zadní brzdyVýbava: a...",2012,,,118,2012,,,118,NO
44,https://auto.bazos.cz/inzerat/215946540/mazda-6-mazda-6-gh-diesel-22-rok-2012.php,"Mazda 6, Mazda 6 GH Diesel 2.2 rok 2012","Prodám Mazda 6 II gen. nafta rok 2012. Vozidlo koupené v ČR. Na vozidle dělaná komplet spojka, kotouče, brzdiče, pneumatiky, lambda sonda a jiné... v servisu. Doložitelné faktury. Vozidlo má zadřený motor. Do poslední chvíle auto v perfektním stavu. Bez koroze. STK platná do 2027. Vozidlo je vhodné k přestavbě ( výměna motoru ) nebo na náhradní díly. Vozidlo startuje na volnoběh běží je sním možné najet i na podval. Není v nouzovém režimu. Bohužel už nemám finance na opravu. Na tento vůz je možn...",2012,,diesel,,2012,,diesel,,NO
45,https://auto.bazos.cz/inzerat/215536777/mazda-2-13-mpi1maj-1943-64000km.php,"Mazda 2, 1.3 Mpi,1.Maj 1943, 64000Km","Rok výroby:10/2011Najeto:64 780 kmPalivo:BenzínMotor:1 349 ccmVýkon:55 kWSTK do:2/2028Stav: Ojeté, Servisní knížkaVýbava:ABS, CD přehrávač, Dálkové centrální zamykání, El. ovládání oken, Imobilizér, Isofix, Litá kola, Posilovač řízení, Tónovaná skla, Zadní stěrač, Otáčkoměr, AUXPoznámka:Vozidlo v hezkém zachovalém stavu po 1 Majitelce narozenou 1943, najeto pouze 64000Km!!! KLIMATIZACE",,64780,,55,,64780,benzín,55,NO
47,https://auto.bazos.cz/inzerat/216192622/mazda-cx-30-20i-110kw-1majitel-52000km-servis-mazda-kamera.php,Mazda CX-30 2.0i 110Kw 1.majitel 52000km servis Mazda kamera,"Video prohlídka viz odkazhttps://www.youtube.com/shorts/9OUzlPNFbysProdám Mazda CX-30 2.0i 110kw benzín 4x2 pohon přední nápravy manuální šestistupňová převodovka po prvním majiteli v Německu (rodina)Rok výroby 07/2020 provoz 10/2020Stav tachometru 52000kmKilometry podloženy úplnou servisní historii 11/2025 z autorizovaného servisu Mazda + protokoly z Německé STK 11/2025K vozidlu je COC listGarance kilometrů do kupní smlouvy100% nehavarováno, nelakovánoVozidlo je po předprodejní prohlídce11/2025...",,52000,,110,,52000,,110,NO
48,https://auto.bazos.cz/inzerat/213751051/mazda-cx-5-kf-22d-skyactive-135kw-revolution-4x4-automat.php,"MAZDA CX-5 KF 2,2d SKYACTIVE 135KW REVOLUTION 4X4 AUTOMAT","Dobrý den,Prodám Mazdu CX5 KF 2,2d SKYACTIVE 135KW REVOLUTION 4X4 AUTOMAT, auto je po druhém majiteli, v provozu od 2019, najeto skutečných cca 129tkm (doloženo). Auto je velmi zachovalé, bez kosmetických vad, garážované, pravidelně servisované.Nyní po servisu:Přední kotouče + destičky + vodící čepyZadní kotouče + destičky + vodící čepyolej + fitrvzduchový filtrkabinový filtrVýbava:8x airbag, dvouzonová automatická klimatizace, bezklíčové startování, headup display, vyhřívaný volant, vyhřívané p...",2019,,,135,2019,,,135,NO
50,https://auto.bazos.cz/inzerat/216146028/mazda-cx5-22d-129kw-awd-4x4-skyactive-model-2013.php,Mazda CX5 2.2D 129kw AWD 4x4 Skyactive Model 2013,"Mazda CX5 2.2D 129kw AWD 4x4 SkyactiveModel 2013Najeto 198 tisic km2.majitelPravidelný servisBez koroze a kosmetických vadZachovaly krásný interiérVozidlo bez investic sednout a jet.Vysoká výbava!!!Pravidelný kvalitní servis2x kliceKrasne pevné svezeniSuper spotřeba kolem 6 litruVýbava:Abs, asr, esp, servo, el. Okna, el. Zrcátka, central dálkový, Kessy - bezklicove odemykání a startování, bixenony s přísvitem, senzory přední zadní se zobrazením, parkovací kamera, mrtvé úhly, start stop, hlídání ...",2013,,,129,2013,,,129,NO
54,https://auto.bazos.cz/inzerat/216143403/mazda-cx5-2015-22d-skyactiv-fwd.php,MAZDA CX5 2015 2.2D SKYACTIV FWD,"Nabízíme k prodeji -Mazda cx5 , rok výroby 2015 2.2D FWD skyactiv.Motorizace 2.2d s výkonem 110kw. Manuální převodovka.Najeto doložitelných 152.150km. Pravidelně servisované auto.Nyní po výměně motorového oleje.Výbava mazda cx 5 - led+xenony,navigace,automatická klimatizace,tempomat,maxi dot,alu kola,parkovací senzory,esp,centrální zamykání,el okna, autorádio,isofix ……Velmi dobrý technický stav. Bez koroze.Čistý,neponičený interiér.Nekuřácké auto.Po druhém majiteli. První majitel autosalon (před...",2015,,,110,2015,,,110,NO
