id,url,current_year,current_mileage,current_fuel,current_power
132,https://auto.bazos.cz/inzerat/216200727/mazda-5-20-110-kw-center-line-204-000-km-benzin.php,,204000,benzín,110
133,https://auto.bazos.cz/inzerat/216200706/mazda-5-20-107-kw-comfort-benzin.php,,239000,benzín,107
134,https://auto.bazos.cz/inzerat/216200684/mazda-3-20-88-kw-center-line-148tkm-benzin.php,,148000,benzín,88
135,https://auto.bazos.cz/inzerat/216200665/mazda-3-20-88-kw-rok-2015-170-000-km-benzin.php,,170000,benzín,88
136,https://auto.bazos.cz/inzerat/216200631/mazda-3-20-88-kw-sport-line-benzin.php,,231000,benzín,88
137,https://auto.bazos.cz/inzerat/216200608/mazda-3-20-88-kw-sports-line-adaptivni-tempomat-benzin.php,,246000,benzín,88
138,https://auto.bazos.cz/inzerat/216200535/mazda-3-16-77-kw-90th-anniversary-159-000-km-benzin.php,,159000,benzín,77
141,https://auto.bazos.cz/inzerat/216200405/mazda-3-20-111-kw-high-line-benzin.php,,187000,benzín,111
142,https://auto.bazos.cz/inzerat/216200366/mazda-3-20-111-kw-exclusive-line-153000-km-benzin.php,,153000,benzín,111
145,https://auto.bazos.cz/inzerat/216200278/mazda-3-16-77-kw-bose-edition-benzin.php,,154000,benzín,77
146,https://auto.bazos.cz/inzerat/216200252/mazda-3-16-77-kw-active-123000-km-benzin.php,,123000,benzín,77
147,https://auto.bazos.cz/inzerat/216200228/mazda-3-16-77-kw-sport-active-benzin.php,,171000,benzín,77
148,https://auto.bazos.cz/inzerat/216200210/mazda-3-20-110-kw-sport-top-184000-km-benzin.php,,184000,benzín,110
151,https://auto.bazos.cz/inzerat/216199602/kupim-mazda-3-2017.php,2017,,,88
152,https://auto.bazos.cz/inzerat/216199316/mazda-3-16i-77kw1reg2012klima.php,,128068,,77
153,https://auto.bazos.cz/inzerat/216198486/mazda-cx-7-23-disi-najezd-73tiskm-4x4.php,2007,,benzín,191
154,https://auto.bazos.cz/inzerat/216198000/prodam-mazda-6-20d-103kw-dohoda.php,,,,103
155,https://auto.bazos.cz/inzerat/215235636/mazda-cx5-22-diesel.php,2015,,diesel,129
156,https://auto.bazos.cz/inzerat/216194383/mazda-cx-5-takumi-20-benzin-awd-automat-122016.php,,,,116
159,https://auto.bazos.cz/inzerat/216192260/opel-antara-24-103-kw-4x4-benzin-lpg.php,,174000,,103
